setid,appNumbers
f4267d77-6a81-491e-9ae5-8cbccc99339c,141361|141064
a5cd77e0-af84-4ef6-b0bf-b3dc706352c3,200386
dfac5f5a-9302-40d5-a0e9-6554abe0c7c8,096298
8e04879a-464f-4e6f-aaa0-4e33d95c0c5a,
bf2b6325-7ff2-468a-8f17-c77569b973e0,038878|130736
db5681b8-2c88-412f-a99a-2b7193a2404d,140927
edf29e02-f3db-4954-9a1a-9f153f9a073f,132427
212741ad-0a21-438f-a108-36afb1d507e0,200726
62d8df49-5c1a-4944-a924-89388d8e22f2,200751|141230
f456b173-3ddd-499b-9993-929ff5f7b875,200751|141230
1451663c-b85a-4b45-8b27-6d572d0032f9,139237
0706637a-1062-48ca-be00-4ef4b1dc37db,048761
72ed9cb2-8eb6-4aee-a500-43abbc301d44,048761
58fe68d5-866f-4f8b-aab7-57cd9c9c4ce5,048761
9b3b27c0-b584-438f-acee-44549f449c1b,048761
cc61d2db-1334-4855-9952-ddcabd1d6ac7,141137
1d3664b8-d13d-464a-b9dc-d493a24fbdc8,140872
6e136d64-2fc7-4921-bb9c-7575455b2389,091467
692398a6-ff70-44ca-a118-e527c6591b49,091467
631dd212-54eb-4e0b-adf7-57f18ad94d0d,091467
381bd914-c5fb-4cc5-bc3d-29711fc35cce,140442
ceeeee6b-011a-4d2f-a90a-d2958a9f12f9,141553
6657cc95-3107-4846-b0a6-587804cff7a0,039402
f8438558-d6d5-4bb9-9d19-8d35517ff0ea,039402
3faf5a84-f5e4-4272-bfad-102d7ac657a4,200719
7e860d24-a053-4ec0-96fd-d639496a7697,140806
f9dcb46c-8142-40b9-ad25-872b0b86b35b,039402
d8f0aec3-b23f-4210-bf06-98bb2359b1a2,039402
641f1874-ad52-40fd-9c63-2ca537a6e147,111607
1459ce98-fbf3-4514-a656-462442ffed4d,111798
de900888-a404-405c-8c55-8ffb5f832234,111798
a6ba873b-10c7-4b02-92e5-1065e321503b,108114
f0bde6e2-6de0-4f7a-be5d-a1d84a54b138,
332cac01-ebc7-4b77-b092-505351777e1e,
6416540b-dcdd-40f7-bff6-ed27b4bbad05,
5a397494-e980-4f45-80e6-ab99ffdaf48a,009476
6fc4e5dd-fcc5-4a29-b947-abcbcf4f06d8,200745
7a05d5b6-a040-47f5-ae21-5f7af9b68e24,200730
ec6dab2e-54e9-4fd1-a3e8-7743453a765b,200238
ad403eb7-0c03-4bda-9698-3757860043cf,141581
94812721-1153-49f7-b574-ef4c24ebc70d,111798
f47a0c54-050a-477e-9fea-e5afb77ad9fb,111798
386fc0aa-c4a7-4dff-86bf-d79facb6d6cc,118123
8dffafeb-5243-4771-9486-778e686feb30,118123
859d4e30-d70c-4baf-aa62-0d3feff25057,128620|104494
9d014ac2-5a56-40c8-b16e-f93fbb2953f7,128620
68790921-c3e3-4d99-b406-fe55b5549636,121473
74980ef3-3f58-4cba-bd82-cc343f18390d,121473
